               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.046694,           0.0063634,           0.0058665,             0.62542,             0.59173,             0.63118,             0.24307,            0.036142,            0.005563,           0.0048635,           0.0087724,           0.0087724,           0.0087724
                 126,            0.043334,           0.0063178,           0.0074234,              0.6437,             0.61241,             0.63593,             0.24013,            0.036628,           0.0054808,            0.004887,           0.0087625,           0.0087625,           0.0087625
                 127,             0.04885,           0.0064666,           0.0060179,             0.62754,             0.54385,             0.56931,             0.18632,            0.042016,           0.0053602,           0.0045134,           0.0087526,           0.0087526,           0.0087526
                 128,            0.055845,           0.0064497,           0.0070747,             0.61318,             0.64898,             0.60093,             0.23911,            0.037671,           0.0055712,            0.004577,           0.0087427,           0.0087427,           0.0087427
                 129,            0.048275,           0.0065901,           0.0062842,             0.60021,              0.6356,              0.5713,             0.21731,            0.040333,           0.0055196,           0.0049549,           0.0087328,           0.0087328,           0.0087328
                 130,            0.046943,           0.0063806,           0.0062446,             0.60626,             0.60719,             0.58015,              0.2238,            0.037345,           0.0056434,           0.0050831,           0.0087229,           0.0087229,           0.0087229
                 131,             0.04511,           0.0063045,            0.006544,              0.6135,             0.65051,             0.61263,             0.23705,            0.036823,           0.0055853,           0.0053359,            0.008713,            0.008713,            0.008713
                 132,            0.046939,           0.0068027,           0.0059578,             0.56345,             0.62673,             0.56221,             0.21418,            0.036014,           0.0056003,           0.0055759,           0.0087031,           0.0087031,           0.0087031
                 133,            0.041388,           0.0059054,           0.0059603,             0.63243,             0.63258,             0.63112,             0.24633,             0.03562,           0.0056577,           0.0065709,           0.0086932,           0.0086932,           0.0086932
                 134,            0.045095,            0.006015,           0.0068797,             0.61391,             0.59626,             0.62361,             0.25762,            0.035731,           0.0055138,           0.0072786,           0.0086833,           0.0086833,           0.0086833
                 135,             0.04387,           0.0055062,           0.0071829,             0.60972,             0.57449,             0.60259,             0.23488,            0.036653,            0.005395,           0.0060185,           0.0086734,           0.0086734,           0.0086734
                 136,            0.044477,           0.0069896,           0.0068477,             0.61399,             0.63258,             0.65912,             0.24123,            0.035246,           0.0054362,             0.00599,           0.0086635,           0.0086635,           0.0086635
                 137,            0.039392,           0.0056398,           0.0055936,             0.55658,             0.61279,             0.53663,             0.15778,             0.04089,           0.0053341,           0.0057958,           0.0086536,           0.0086536,           0.0086536
                 138,            0.047771,           0.0059911,           0.0064245,             0.61358,             0.60751,              0.5869,             0.18468,            0.037801,           0.0054312,           0.0046527,           0.0086437,           0.0086437,           0.0086437
                 139,            0.045219,            0.005513,           0.0064625,             0.65154,             0.66765,             0.65162,             0.24999,            0.037309,           0.0054192,           0.0043354,           0.0086338,           0.0086338,           0.0086338
                 140,            0.042642,           0.0057085,           0.0055135,             0.66601,             0.65099,              0.6694,             0.23637,             0.03836,           0.0053817,           0.0042921,           0.0086239,           0.0086239,           0.0086239
                 141,            0.047251,           0.0063656,           0.0066134,             0.60826,             0.58782,              0.5936,             0.21815,            0.039725,           0.0053947,            0.004772,            0.008614,            0.008614,            0.008614
                 142,            0.048413,           0.0056518,           0.0048913,             0.67607,             0.57875,             0.63483,             0.23132,            0.037379,           0.0053195,           0.0040808,           0.0086041,           0.0086041,           0.0086041
                 143,            0.045866,           0.0062646,           0.0059384,             0.66945,             0.64607,             0.65409,             0.25004,            0.039075,           0.0052899,           0.0039061,           0.0085942,           0.0085942,           0.0085942
                 144,            0.049507,           0.0061924,           0.0056412,             0.69682,             0.64449,             0.66704,             0.25665,            0.037447,           0.0053293,            0.003914,           0.0085843,           0.0085843,           0.0085843
                 145,            0.048177,           0.0065174,            0.006201,             0.62109,             0.63997,             0.63286,             0.24362,             0.03403,           0.0053714,           0.0040877,           0.0085744,           0.0085744,           0.0085744
                 146,            0.042429,           0.0057662,           0.0063688,             0.65229,             0.61048,             0.64903,              0.2498,            0.035311,           0.0053339,           0.0040235,           0.0085645,           0.0085645,           0.0085645
                 147,            0.051693,           0.0063531,           0.0075877,             0.60841,             0.60083,             0.60761,             0.22105,            0.036759,           0.0053453,           0.0042401,           0.0085546,           0.0085546,           0.0085546
                 148,            0.048836,           0.0071907,           0.0069539,             0.65222,             0.61103,             0.64764,             0.25185,            0.033572,           0.0054039,           0.0041978,           0.0085447,           0.0085447,           0.0085447
                 149,            0.048548,           0.0057021,            0.006047,             0.61524,             0.63575,             0.65135,             0.26874,            0.035153,           0.0053415,           0.0045758,           0.0085348,           0.0085348,           0.0085348
                 150,            0.051112,           0.0066755,           0.0063969,              0.5506,             0.51036,             0.52699,             0.18857,            0.036587,           0.0054594,            0.004509,           0.0085249,           0.0085249,           0.0085249
                 151,            0.046955,           0.0066478,           0.0062563,             0.66776,             0.59538,             0.62744,             0.24896,             0.03392,           0.0053127,           0.0041186,            0.008515,            0.008515,            0.008515
                 152,            0.043692,           0.0062431,           0.0062186,             0.63386,             0.58327,             0.63412,             0.25784,            0.033713,             0.00528,           0.0041707,           0.0085051,           0.0085051,           0.0085051
